article;date;client secteur1;Quantite;PU net
1971861;31/12/2019;Client_A;1;3.07
1807658;31/12/2019;Client_A;1;9.22
1790356;31/12/2019;Client_A;1;6.14
1720475;31/12/2019;Client_A;1;7.99
1715372;31/12/2019;Client_A;1;9.22
1713477;31/12/2019;Client_A;1;3.68
1711022;31/12/2019;Client_A;1;6.14
1707605;31/12/2019;Client_A;1;6.14
1595463;31/12/2019;Client_A;1;3.68
1570798;31/12/2019;Client_A;1;3.07
1546823;31/12/2019;Client_A;1;3.07
1524715;31/12/2019;Client_A;2;3.07
1524685;31/12/2019;Client_A;1;3.07
1517891;31/12/2019;Client_A;1;9.22
1517235;31/12/2019;Client_A;36;30.74
1421327;31/12/2019;Client_A;15;6.17
1415937;31/12/2019;Client_A;1;6.17
1325732;31/12/2019;Client_A;1;3.07
1307929;31/12/2019;Client_A;1;3.07
1112904;31/12/2019;Client_A;12;30.74
1111489;31/12/2019;Client_A;1;3.07
1960940;31/12/2019;Client_A;1;3.07
1959548;31/12/2019;Client_A;5;6.17
1951337;31/12/2019;Client_A;1;3.07
1947828;31/12/2019;Client_A;1;3.07
1905810;31/12/2019;Client_A;1;6.17
1823917;31/12/2019;Client_A;1;3.07
1808297;31/12/2019;Client_A;1;12.29
1807658;31/12/2019;Client_A;1;9.22
1791438;31/12/2019;Client_A;1;6.14
1790370;31/12/2019;Client_A;1;6.14
1790363;31/12/2019;Client_A;1;6.14
1790349;31/12/2019;Client_A;1;6.14
1787929;31/12/2019;Client_A;1;6.14
1743543;31/12/2019;Client_A;1;3.07
1723490;31/12/2019;Client_A;1;12.29
1711671;31/12/2019;Client_A;1;9.22
1571429;31/12/2019;Client_A;1;6.14
1562984;31/12/2019;Client_A;1;6.17
1523558;31/12/2019;Client_A;1;3.07
1523144;31/12/2019;Client_A;1;43.03
1517891;31/12/2019;Client_A;2;9.22
1517235;31/12/2019;Client_A;121;30.74
1502422;31/12/2019;Client_A;1;6.17
1440930;31/12/2019;Client_A;1;3.07
1430603;31/12/2019;Client_A;1;3.07
1422607;31/12/2019;Client_A;1;9.22
1416255;31/12/2019;Client_A;1;12.29
1403904;31/12/2019;Client_A;1;3.07
1392130;31/12/2019;Client_A;1;9.22
1392024;31/12/2019;Client_A;1;3.68
1373672;31/12/2019;Client_A;1;3.07
1354121;31/12/2019;Client_A;1;3.07
1321771;31/12/2019;Client_A;6;9.22
1312052;31/12/2019;Client_A;1;3.68
1308780;31/12/2019;Client_A;1;3.07
1307929;31/12/2019;Client_A;1;3.07
1175313;31/12/2019;Client_A;1;3.07
1144685;31/12/2019;Client_A;1;3.68
1126759;31/12/2019;Client_A;2;3.68
1112904;31/12/2019;Client_A;10;36.89
1960889;31/12/2019;Client_A;2;3.07
1905453;31/12/2019;Client_A;1;3.07
1832575;31/12/2019;Client_A;1;3.68
1731168;31/12/2019;Client_A;2;3.68
1717246;31/12/2019;Client_A;2;12.29
1546823;31/12/2019;Client_A;1;3.07
1455804;31/12/2019;Client_A;5;6.17
1454685;31/12/2019;Client_A;1;3.68
1422607;31/12/2019;Client_A;1;9.22
1405755;31/12/2019;Client_A;1;6.14
1355340;31/12/2019;Client_A;2;6.17
1322885;31/12/2019;Client_A;1;3.07
1307929;31/12/2019;Client_A;1;3.07
1168070;31/12/2019;Client_A;1;3.07
